split,level,space,MAE,RMSE,R2,composition_sum_error,presence_F1,false_positive_absent_%,MAE_CL,MAE_GP1,MAE_GP2,MAE_MH1,MAE_MH2,MAE_SP
train,image,volume,0.0442825558541584,0.07339633457113218,0.907020976118044,3.467652399754465e-08,0.9171230376049652,6.994218573546723,0.054672873769812634,0.03000524530785137,0.03164372765694977,0.04027194765168623,0.05901371105755271,0.05008782968109769
val,image,volume,0.08022839890393749,0.1307397067005984,0.7026129626391664,3.2107209335663356e-08,0.8247422680412372,14.428569720390893,0.09017691112636991,0.06316734588538869,0.06103886544389449,0.09251360552928721,0.11620802709294367,0.05826563834574093
test,image,volume,0.10301858643299534,0.16564375176079568,0.4622868828373268,3.511108154656761e-08,0.7991498405951116,19.10486101859263,0.10082244095646081,0.06246151907242055,0.0637650367295657,0.12753136435375464,0.14848217672428513,0.1150489807614852
train,image,mass,0.0443188013481348,0.07351166861993486,0.9067577924804631,6.298380620469638e-17,0.917793204238217,7.0181041403576865,0.05468374974852516,0.02982980201772899,0.03176944606056823,0.03997418196398865,0.059827188988578514,0.04982843930941923
val,image,mass,0.08048919285786657,0.13133183256104708,0.6996851326274505,5.458596537740353e-17,0.8247422680412372,14.485271860952242,0.0902999097655678,0.06304885450998939,0.06158405977817237,0.09212652441506058,0.11797905724167025,0.05789675143673899
test,image,mass,0.10319292951918592,0.16570257325022772,0.46190757463468535,6.257620684250882e-17,0.7983014861995754,19.129447403165127,0.10090017312265051,0.0626878424880312,0.06428656830265865,0.1264231177705169,0.15023502859931828,0.11462484683193996
test,mixture,mass,0.09702048059655848,0.15242296591240495,0.5446983879574379,4.710037074167331e-17,0.7959183673469389,19.129447403165127,0.09193782575405951,0.05767554818002699,0.05963051073646376,0.11765772424276387,0.14270350414888577,0.11251777051715084
test,mixture,volume,0.09690990485806672,0.15242367954789532,0.5446918844067908,2.6914497566670462e-17,0.7999999999999999,19.104860825864165,0.09197455268763242,0.05750847116262566,0.05913914338778525,0.11890056064702312,0.1409759658820358,0.11296073538129811
