split,level,space,MAE,RMSE,R2,composition_sum_error,presence_F1,false_positive_absent_%,MAE_CL,MAE_GP1,MAE_GP2,MAE_MH1,MAE_MH2,MAE_SP
train,image,volume,0.06097541597068462,0.09271738831101171,0.8516257219716852,3.6255872915857117e-08,0.8649774383894482,11.219540179682493,0.07983573553647147,0.049046537942866474,0.03742540134531177,0.06081911012857185,0.07644795563895829,0.06227775523192786
val,image,volume,0.0870199479041427,0.13509530238192713,0.6824679866121586,3.128758786867062e-08,0.8068181818181818,16.26736809565652,0.10219431044145798,0.06963485365655894,0.07281609089307797,0.09494194507133216,0.10973222346607751,0.07280026389635168
test,image,volume,0.10688025400170709,0.16728570211555252,0.45157384215533436,3.413332513335979e-08,0.7897435897435897,19.850578917992056,0.10172288119087392,0.07983463154999879,0.0567324780887275,0.1369446444353371,0.14651722106377058,0.11952966768153464
train,image,mass,0.06100958609387765,0.09286642652485892,0.8511950244341766,6.746739918875951e-17,0.8634942688433483,11.222792680419643,0.07980044550731837,0.04874789552186711,0.03765177032131537,0.060403663900288444,0.07751957600298488,0.06193416530949191
val,image,mass,0.0872889244267527,0.13572597458356037,0.6792528834111111,5.828670879282072e-17,0.8079658605974395,16.299375175823506,0.1023150726049627,0.06939828897647785,0.07357190936627372,0.0946634652115414,0.11135227114158328,0.07243253925967728
test,image,mass,0.10697297250233108,0.1672789571562767,0.45162077108038756,5.113754537667388e-17,0.7913669064748201,19.843597597129,0.1016128048506813,0.07984507355379103,0.05739336087560198,0.13574910391463785,0.14825996505461822,0.11897752676465605
test,mixture,mass,0.10025399664294826,0.15398880389077724,0.5352957300099342,1.0092936587501423e-17,0.78,19.843597597129,0.09714695778775577,0.074264055168776,0.04840792975992339,0.12868317228027795,0.13998911556640645,0.11303274929454998
test,mixture,volume,0.1002246372085484,0.15403957429690684,0.5349869638058089,1.3457248783335231e-17,0.78,19.85057883222379,0.0973064765084865,0.07421644628200602,0.04779288496689515,0.13005596094678473,0.1382838208090184,0.11369223373809967
